essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
11,1,"dear @location1, @caps1 people acknowledge great advances computers give us, also put us @caps1 disadvantages. computers known help develop health issues. people become intune online world, tend interact family less. forget danger online predators - they're deadly. @caps1 people nothing, watch television often refered cauch potatoes. glued computer screens better. stated numerous @location2's top doctors much time spent computer cause damage health. exercise highly stressed doctors around globe exercise computer addict typing storm. submerge obesity. often causes depression begins sink in. addition serious health issue. surprised add computer wing rehab centers sometime near future. problems slowly spreading must come together abolish them! family time treasured value, @caps2 people, lately, computers ruining tradition. @caps1 people absorbed online drama, friends, even video games, family interaction declining. people slowly remove reality enter alternate world cyberspace. @month1 emerge rooms use bathroom eat, scarcely resting. cause great tension sorrow @caps1 families. erase horrifying stories abduction memories? online predators highly dangerous extremely clever. children could talking someone believe another teenager looking friend console when, really, forty-year-old serial killer waiting find right time attack. studies show one fourth online users encounter dangerous person.",4,4,8
12,1,dear @caps1 @caps2 feel computers take away peoples life aren’t important factors life. first know world becoming obease lack exercise. also people realize @caps3 warming becomeing big problum. finally familys arn't close used be. reasons computers arn't important human socioty. first world becomeing obease cumputers play huge part this. computers make people exercise basicly sit couch use computer help amarica get back shape. also computers become habbit person uses computer everyday life become addiction able stop. finally people use computer realize lack exersise getting. first reason computeres bad thing. next @caps3 warming mealting polar ice caps. computers play part @caps3 warming use electricty thjen electrisity melts polar ice caps. keeps happining melt shorline half world fluded. finally computers play huge part @caps3 warming fact popular. another reason computers bad. finally last reason computers bad take away family life. instance familys splitting sientest sat @percent1 time technolagy. peroson computer people feel love computer love themselfs. split good. last reason feel computers bad. conclution see computeres bad thing. first see amarica becomeing obease computers. also computers causeing @caps3 warming eventually goung flood earth. last least computers take away peoples family life cause split become unhappy. reasons computers bad.,4,4,8
13,1,dear local newspaper raed ur argument computers think positive effect people. first reson think good effect much like live mane ur cuzin lives califan could wed chat. second thing could look news world could stuck plane would vary boring take ur computer go ur computer work start work. said takes away exirsis well people use computer chart fast run meny miles want sometimes eat. thrid reson peolpe jobs computers making computers exmple made artical didnt use type writer used computer printed didnt computers would make ur @caps1 lot harder. thank reading whe thinking adout agen pleas consiter thrie resons.,4,3,7
14,1,three detaileds news paper article one state opinion effects computers. seconde give detailed resons persuade local newspaper agree yor postition. three ideas news paper article. bigin opinion computer effects wast time. many people wast time computers like fat people insted insted computer go run exercising. insted computer go ur girlfriend family family friends fun. incomputer long bad many kids wach bad stuff like adults. good computer long. start shod agree becasue detailed reason. resons many airs bas stuff like porn. many kids wach ruins ther mainly futur. get addicted watching. people use computer good stuff old mids good ganes good. detailed resons yor me. bigin going organize ideas well present clearly. good computer long insted go plat exersus. abd yor enjoy life insted computer. bad things many kids wach bad stuff cmputer relly bad staff. computer use evrye thing days. organize ideas. conclusion ideas news papaer. ols state opinion computer effects. give detailed resons persuade local news paper agree me. think organize ideas much present clearly. ideas could new papaer se computers effects.,3,3,6
15,1,"dear, world today everyone useing computers. computers positive effect people. teach hand-eye coordination, give people ability learn faraway places people, even allow people talk online people. today computers like worlds biggest book knowledge. everything need know computer. look faraway places, zap theres everything need know write front you. computers fast easy, everyone use them. today kids addicted computers everyday them. many websites kids teens go on, like @caps1, facebook ect. websites kids young ten years old chatting friends putting pictures. thers also webchat websites allow use webcame talk people anywhere world. computers great way get touch people. everyone computer home today.",3,3,6
16,1,"dear @organization1, computer blinked life image blonde haired girl filled screen. easy find life @location2, thanks actual @caps1 girl explaining it. going library filled one priceless information human interection. computers nessessity life soceity wishes grow expand. supported teach hand eye coordination, give people ability learn faraway places, allow people talk others online. firstly, computers help teach hand eye coordination. hand-eye coordination useful ability usod excel sports. recent survey, @percent1 kids felt hand eye coordination improves computer use. even simple thing like tying build skill. famous neurologist @caps2 @person1 stated article last week that, ""@caps3 computer strength @caps2. computer, automatically process eyes see command hands."" @caps4 hand eye coordination improve people sports baseball basketball. someone wan't become better sports, they'd need turn computer. people become better sports, they're likely play become healthy. reality, computers help exercising instead decreasing it. additionaly, computers allow people access information faraway places people. someone wanted reasearch @location1, they'd need type search would presented would link forever search countless things. also, ability learn cultures make peole peole cultures, understand others something. increase tolerance people are. computers resourceful tool help people every different aspect life. lastly, computer technology allow people chat. computer chat video chat help different nations. bring good terms places help us understand story comes something happend @location3, people go computer ask actual @location3 citizen take matter. also, video chat online conversation cut expensive phone bills. one wants pay economy. another good point acess family members scaresly visit. help connect within family more. oviously, computers useful aid todays era. advancements push world foreward better place. computers help people help teach handeye coordination, give people bility learn faraway places people, allow people talk online others. think world computers technologicall advancements. world would sectored unified, contact people scare, information even. internet like thousands librarys put together. nobody would know much nations news would travel slower. kind palce want people live in?",6,6,12
17,1,"dear local newspaper, belive computers negative effect peoples lives. belive spend much time computer get much should, spend enough time family, computer can't everything. first reason belive people need get more. get out, exersise unhealthy. instead watching games scores get play game. also belive enjoy nature feel like wasting beauty nature around them. want waste abilities privalges would we? another reason spend enough time family. family near you, take advantage interact one another. fun family playing games. also fun hanging out, boost social skills computer can't always that, brings next point. computer can't everything, take advantage now. computer time fine, dangerous getting addictted it. computer @month1 lots information, nothing can't find book. computer can't love dog, reason get computer. pleanty things can't computer, including sports, taking care family, hobbys. remember computer @month1 great time time, live life you. belive spend less time computer, time getting out, fun family, computer can't everything.",4,4,8
18,1,"dear local newspaper, must admit experts centainly right cause know people stay computer day that’s really good ask me. instead computers learning faraway places, talking people, go exercising, relax, interact family friends. exercising much better computer, say say this. computer sitting playing online games checking things out, whatever case @month1 be, get board, hungry, know theres snacks around whatever doing. instead computer @num1 @num2 hours maybe even day getting fat. many ways exercise. take walks, go joggin, could play sport, mean lot things computer. know people could workin day still come home computer. rest good also. always jump computer, could relax watch movie, eat pop corn enjoy yourself, could even take nap little something always get straight computer really use it. way see family, computers always going time one important. friends always dependable really need around selected few, thats point. family, true friends feelings, spending time computer gonna leave, come back home something right. tomorrow promised, live today. enjoy life got chance, spend time something active, family friends, really computers, try balance time out.",4,4,8
19,1,aegre waf evansmant ov tnachnolage. evansmant ov tnachnolige halp fined kohar froi alnsas. tnanchnolage waf ont ot wod go moon. tnachnologe evans maech at. people tnacholege frchr fror good ov live. famas invanyor ues tnacholage leki lena orde dvanse fling mashine. tnachologe grat,2,2,4
20,1,"well computers good bad thing. don'@caps1 realy see @caps2 computers bad thing me. also know @caps2 computers help people around world. think computers positive effects people like me. computers teaches hand-eye coordination. help need find reasearch school project. create lots things computers like music, desiner @caps1-shirts, logos, banners lots creative things. computer look available homes apartments. even go online fill job application save trips stores @caps2 cool that!! well im regular person rich famous computers provide lot information people use today. thats think computers positive effects people don'@caps1 super smart use one.",3,3,6
21,1,"dear @caps1 @caps2 @caps3 daily, writing address issue computers society today. day new discoverys made people use computers society, however many people say computers harmful communtiy. today going convince society computers much issue people say are. begin discoverys nation advancing rapidly. day new discoverys benefiting society however made possible help computers. without computers dieseases would never discovered people. would died. secondly, computers also increased medical care cave life death. finnaly, computers help speed production rates cars household neccessitys, many objects. ever bored home looking something dark, rainy, chilly night? yes, exactly thought well new technology advances social-networking even help bored lonelyest people give something do. even looking talk someone easily internet. people looking special someone always able look somewhere. social networks like twitter, myspace, facebook, youtube always something do. economic recestion seems finding job hard, however internet comes rescue yet again. internet help find job twice three times fast. many people also speed word using computer. microsoft things lot easier work need make hope everyone understand much computer help you, rather hurt you. @caps1 newspaper, hope rest community see computer help hurt you. thank much time effort put listen me.",4,4,8
22,1,dear local newspaper @caps1 take computer given people around world stay houses chating family friend. computers help people around world connect people computer help kids homework look staff happen around world.,2,1,3
23,1,"dear local newspaper, @caps1 ever see child computer hours nothing could get off? well believe harmful child since allow exersice, interact face face people use minds best @num1. advance society get laziar forget essential things. think taking step back using computers could benefit society using them. obesity @location2 highest @percent1 kids @location3 agree exersice week would rather spend time computer. think this, @percent1 kids. thats @num2 @caps2 children. took compared @caps3 children benefit technology. learned @percent1 children exersice week. that's less computers @location3 @percent2 children overweight @percent3 develope heart blood problems adults. exercise go play friends bike, go jog. sound hard it? make spend computers think reduce obesity amount believe @caps2 ran overall country. computer popular websites like @caps5, @caps6, @caps7. websites allow interact people island. could ways one. computer websites allowing anyone talk people could interest mind. @num3 @num4 people school say one accounts personal posted them. personal info, could websites crime rate gone @percent4. also, websites cause people social skills. people spend hours websites talking people forget talk face face. @percent2 @location1 students say would say something online say someone's face. creates problems schools could possibly make someone hurt someone else themselves. i've heard news suicides computers believe less people would spend time family nation would closer safer. computers dont allow explore nature use mind best ability. computers make easy myself, think makes laziar allow read book read people, instead going library getting book. computers take away time actually use mind problem solve real life solution. there's years i've learned computer hours playing realize all. without them, would make difference. kids living computers change them.",5,5,10
24,1,"dear local newspaper, i've heard many people think computers benefit society. disagree that. computers benefit society teaching hand-eye coordination, allowing people learn foregin places, allow people communicate others online. people basically born hand-eye coordination, people weren't, like me, example. but, thanks computers, hand-eye coordination gone up! ""on average, computers increase persons hand-eye coordination @percent1 says @person2. think it, learning tye, hand-eye coordination go @percent1.! that's amazing! good hand-eye coordination get far life, helps small, everyday things playing instrument, household chores. also helps sports. need good hand-eye coordination throw, catch, aim. people spend time computer, population's hand-eye coordination would increase, want thats. ever heard @location1? country @location2 one really knows much about. looking computer, become expert country! computer gives us access lot knowledge, make us people around world. improve travel. instead going place every vacation, go place saw online looks exciting. also, learning countries people them, gain respect them. @month1 also learn traditions, culture. ""the internet gives us access world,"" says @person1, ""we learn many new things make us people, countries, environment."" @caps1 right, also aware environment. since global warming problem, learn preserve foreign places learning internet. click mouse virtually whose world fingertips! recent study @percent2 people said time meet old friends. internet, however made quick easy talk people online. websites like @caps2, @caps3, @caps4 keep social life tact, even reunite yu old friends. example, @caps2 suggest family. keep touch wih many people trough @caps2! also, make new friends. teens say always willing meet new people, internet great way so! sites like @caps7, @caps8 help find friends connecting chat room random person, talk. talked someone @caps7 hour! found @caps4 accounts keep touch there! also helps gain confidence @month1 courage say something computer would't say real life. computer really amp social life. see. computers ""your barain,"" imprdove hand-eye coordination, help learn far away places, improve social life allowing talk others. computers benefit society anymore ever know!",6,5,11
25,1,"dear @caps1, @caps2 off, beileve computers helpfull many people looking information, talking friends. although many kids spending time outside, computer well-occupied environment helps kids learn interact others. believe kids right stay computer long desire. although, always make time go outside, hang friends, ect. computer @month1 fun always important get outside enjoy nature. another reason students spend time computer health. child gets addicted computer affect interacts @month1 serious damage brain. although, believe children right computer, always important spend time outside enjoying nature. another reason think children right computer information learn discover. many kids grow career computer makings program designing. kids @month1 education online teach others. computer non-stop generation intelligence based help people learn, play discover. many people dream one day build computer make new programs. students right spend time computer also save time spend outside friends. everyone perspective think staying computer day good thing. think kids might affect health think them.",4,4,8
26,1,"think computers useless? think could useful many ways? remember @caps4 older sister research @caps1, computer gave information needed. issue grapple is, people use computers, everyone agrees benefits society. strongly think @caps2 benifit society many ways! heres why, computer allows get touch friends, research people, places things, relax enjoy playing fun, entertaining website! first reason @caps2 allows talk family friends get back touch friend moved diffrent state, easily get back touch straight computer. ""@caps2's nice send emails pictures friends, @caps2 computer @caps2 gets done much faster!"" @caps3 @person1, one neighbors. next reason research anything want like people, places things refferances come up. @caps2 good research projects, school assignments @month1 have. remember @caps4 brother working project. everything trouble with, found directly computer! final reason alot fun exciting websites relax play on! websites keep busy, wont bored playing! ""@caps4 im bored go computer play games, find @caps5.com,"" @caps3 younger cousin, @person2. computers @month1 make people become adicted them. yes but, learning interesting things internet works. people use computers, everyone agrees benefits society. strongly beleive benefit society, heres get touch people, research, play fun games! @caps2's never decide think! call talk through.",5,4,9
27,1,"computers good get infermation, play games, get pictures, computer might find something someone bad viris. ther vris might want shut computers get worse. websites kids, like games, teen games, adult games. also pictures bad kids time lead inapropreit pictures. look infermation need things like wepons knifes. also differnt kinds companies like @caps1&t @caps2. @caps2 good place get computers @caps1 @caps1&t.",2,2,4
28,1,"dear newspaper, computers high tec expanded everyday thing. play big role society. computers improved many different things without would barely get thing done. although kids start goind outside more, computers teaches kids new things, useful. computers kids rarely going outside. lot population @location1 obese, including kids. staying inside computer. kids need go outside evry get fresh air exercise. limit time computer active game would better child. since computers rapidly growing adapting kids spend half day stareing screen playing flash game, like run escape. instead wasteing time go outside, take walk something! computers teaches kids new things. google something like trees. would get bunch websites containg information trees. kids also play games, know it, games play teaching stuff, example, little sister, goes site called nickeloden.com see right teaches stuff know before. types games prepared kindergarden. days sites keep adapting becoming known like bing. computers real useful. suppose want know whats goind work. click mouse internet explorer get email. computers, could go social networking sites, like facebook connect friends. also go instant messageing site talk friends see to. entertainment could play games. remember though stay long. computers big deal community. life would difficult without them. remember stay long! although kids start going outside, computers, teaches kids new things, useful.",5,4,9
29,1,"dear local newspaper, @caps1 people throughout world use, computers. although @caps1 people think computers good you, others could say different. computer become socal talking friends family. also, computer @month1 notice but; hand-eye coordination improving, finally, able search click button, instead searching topic dozens books. computers @caps1 benefits. one chating, talking online friends, family. @month1 distant friend talked while. computre able connect buddy. acount safe chat on, @month1 able make new friends. would good you, socally. always good friends, stay touch family. people find hard play piano cannot look music hands something else. computre hand-eye-coordination improves time because, searching topic hands typing. also, great memory excirsise fingers. eventually memorize keys located. people without computres search @caps1 books find information topic. others computers, type topic information need right infront them. able see pictures topic even video's! @caps1 books know, search topic, show pictures, videos one resource! @caps1 people debate fact computres good not. ask me, computres great people. allows people socal, talk old friends; also improves hand-eye coordination, finally; gives option search topic without hastle searching dozens books. question you; computers good people, not?",5,4,9
30,1,"dear newspaper people, think computers benefit society reasons. computers make work easier things people can't like solve difficult problems, kids like playing games them. computers make work easier neater. typing often faster writing, always easier read. studies also shown people use computers work finish faster @percent1 free time whatever want. computers also e-mail, allows send work done boss without printing wasting paper. computers solve difficult problems people either can't do, want waste time doing. need solve math problem use calculated computer. figure yourself. lot math problems homework think much easier use calculator. last reason computers good kids like playing games them. lot people say kids play computer games educational. even non-educational games help kids fun something look forward work done. @percent2 kids say happier something fun look forward to, happier kids better work. hope reading understand much computers contribute society.",4,4,8
31,1,"agree computers deffinately advantage society. think help us communicate video chat family friends online, used great tool school work, work purposes. enjoyment children fun computer games help prepare real life consequences,like game webkinz teaches kids care pets. ""@caps1 @caps2?"" @caps3 @caps4, @caps5. ""@caps6, please friend request me"", replied. later night, get home check @caps2, new notification pops friends @caps5 @caps4. entire family @caps2 think usefull several reasons, like making plans parties. hate writing invitations, every year birthday party type up, taking less five minutes. or, even simpler way sending invatations even type email @caps2 message. fact, got invited party yesterday @caps2. easy, create event tag friends note. also, easy get @caps13's automatically get notified. technology like drastically makes life easier. example, ever gotten something new can't wait show friends? well, can, comfort home. need webcam instantly connect one friends one too. ""@caps14, @person1! love done room, pink wallpaper cute!"" said. ""@caps15 you! love hair today. pretty,"" says @person1. love webcamming friends see hear exact you. see, webcamming much easier spending time money, moms time getting ride house. computers make life much convienent. another example much easier computers help school work. ever write report? well, many times teachers especially enjoy typed many students messy hand writing kids like writing anyways. like myself, type faster write that's agree @percent1 computers benefit society. importantly, computers help find good job online even help type great resume you. impressive would be? applying professional position job, know i'll type resume. conclusion, that's computers helpful, beneficial, important fun society.",4,6,10
32,1,"dear local newspaper, @caps1 name @person1 @organization1 citizen. believe computers benefit society all! @caps1 opinion, make town worse. people spend way much time computers less time exercising, enjoying nature, interacting family friends. things @caps3 computers society time make stop it! first all, people computer way much. teens social networking sites, adults chatrooms, kids playing computer games. instead that, people playing outside, going walk park. know @percent1 adults overweight? people cut back amount time indoors, could probably bring number way down. also, knows @caps3 teens computer. computers good things also bad. example, chatrooms knows @caps3 kind people chatrooms. children need careful @caps3 say show internet. instead playing games talking boyfriends girlfriends, teens go outside exercise. second, citizens need enjoy nature beautiful senery around them. busy running check e-mail, notice @caps3 beautiful day outside. nice @date1 @date2 day, people take kids local park pond. reminds last @date2 went @caps1 cousins house. @caps1 aunt allowed us watch one hour day, included computer. outside every single day, even staring clouds. kept us active enjoy environment. @caps1 last reason computers badly affecting society computers take time away interacting family friends. know @caps3 thinking, computer talking family friends, same. instead instant messaging call them. maybe even invite talk face face. reminds @caps1 sister. get home, normally @caps2. now, instead getting coming talk text ""@caps3's up?"" ""@caps4 day?"" computers help people communicate, also take communication away. see, given three reasons strongly believe computers badly @organization1. @organization1 everywhere! need open eyes understand people spend way much time computers, allow people enjoy nature, interact families. please i'm asking understand society crash fix issue. @caps3 going it?",5,5,10
33,1,"dear, @organization1 think effects computers people really positive. computers used sorts things. examples like finding things history. people changed world information. computers give power children learn. example, lots websites offer online tutoring good ways help pass school. positive way online dateing sites. meet new people good way make life even better. popular sites like @caps1, @caps2, @caps3, make good way keep touch friends past, even make new ones. think thats best opinion going school online. done colloge nuse, example get higher degree like registered nurse @organization2. think computers positive effect people.",3,3,6
34,1,"dear @location1, @caps1 rumor going around saying computers negitive affect childs life. disagree. computer help kid many ways, help students homework, let students talk friends, help school projects. besides, kids stay computer long anyways. homeworks, big role school, worse get down. that's computers websites help child learn problem social studies question know. go school web page theres link brings math games. theres even science website. helps child get stressed homework. computer also helps students interact friends. social life important @num1 grater. computer aim, facebook, even myspace help kid impact friends. kid got fight school come home work leave unseatled. computer also new friends towns. teens need make new friesnd helps life. teen helps ask help. every student gets take home project social point time running store buy paper pencils. stay home, money typee essay. computers help social studies science project. print pictures find information. drawing hastle messy, saves time mess. @caps1 words dont understandd look out. computers best way project. computers, everyone uses them, help parents much uss. help us homework, let us talk friends, even help us projects! computers one best technology @date1.",4,4,8
35,1,"dear @caps1 @caps2, think computers positive effect people. would without them? computers teach hand-eye coordination, give people ability learn subject want, allow people communicate other, matter far away. obviously, computers beneficial. think computers positive effect people. teach hand-eye coordination, said earlier. know people say computer, spend less time exercising, computers help throwing skills. hand ey coordination also applies want surgeon/doctor. need steady hands. ready whatever needed. see, positive effect. think computers positive effect people. give people ability learn anything want internet. say want engineer grow up, might want learn anything everything successful later carer. doctor, would want know many years college med school required get medical degree. computer helps learn things. also teach tons things. again, could positive. think computers positive effect people. another thing hundred others let communicate people matter far away. mail enough, yes, @caps3-mail free gets less minutes mail lake weeks go far. example, came another country. want lose touch people grew-up with. computer, could use skype see new person. talking phone mailing even compare that. could never lose touch! computers help people kinds things. conclusion, computers positive effect people. teach hand-eye coordination, give people ability learn subject want, allow people communicate other, matter far away. bad reason could top these. make sense. so, think? think good us, need less computers?",4,5,9
