,essay_set,essay_id,essay,rater1_domain1,rater2_domain1,domain1_score
10,8,20727,laugher laughter express delight fun object joke laughter something large benefit life happend everyday scedual without laughter express happy going side would particullar feeling life except frowning proven fact cose wrinkles beacuse many muscles uses laughter day thing show friends family horses number one reason frown tured side think horses cant smile talk ways showing personality make laugh shere smart clutsy goofy times mostly make laugh giggle like little brothers sisters one time always locked away back mind took place mid day beach friend two horses saddled ready go us horses felt energy rush saw waves pouning shore salty smell noses hit sand running side side wind wistling past ears like moving train horses heads equaly pointed towards ocean got water horses pranced danced arounds like yearlings would walk tell water tell drenching us soon next wave would come rushing ed swerve around try beat wave shore five hours adventuring caves sand dunes starfish worn decided call day around dinner time eat dinner watching sun go finsih perfuct day beach put horses back trailer shut trailer door gave horse good pat neck walk horse tured head gave nudge like saying thanks good time driving home knew perfuct day laughter times laughed injoyment also face hurt little smiling much,16,15,31
11,8,20728,starting story two old boys named already considered comedy names identical twin cousins honestly admit funniest kids know uncle exactly intelligent human earth way named children apparent sense humor little bit really hard working man occasionally mom favors taking twins hands little handful weekends specifically better hateful step siblings hate brother sister even mom amount tension house healthy amount couple old running around livens little makes us laugh together family must home building onto house twins came mom getting quite furious insanely high energy levels appeared verge ripping hair step dad needed go nails child locks decided tag along thought would great idea take twins us relieve mom loud mouths minutes loaded car drove highway amused twins back seat playing ponies laughing people stopped red lights sang songs like twinkle twinkle little star arrived parking lot finds pretty hilarious run isles hide behind items lower shelves enjoys pretending getting confused eventually twins obnoxious resulting catching holding captives seat belts cart helpful much justice hoped continued along adventure search child locks found isle large man standing front destination say large mean muscular tall mean probably many shows watches daily maybe many favorite snacks hair long sandy blond wore dark purple die shirt slip sandals apparently realized inappropriate talk person rude fashion especially hear said cow look lady huge laughed outrageously agreed big whole car panicked bit tried get quiet however twins paid attention much excited see man tall ladder next giggling laughing along quiet moment gasped exclaimed big fire truck man turned around glared apologized least times started take boys isle man ladder hit button make ladder move walking behind larger man ladder made ridiculously loud beeping sound like construction vehicle boys screamed fear shouted frantically run fast hurry backing going squish floor laughed even man making fun embarrassed took car waited tried explain boys car big trucks beep backing unsurprisingly listen word said took approximately minutes came jogging door nails child locks gigantic smile plastered face thought happened store chuckled quietly hopped truck started laughing profusely returned home told mom happened laughed laughed even harder quite bit longer went sleep fairly massive headache night think worth laughing day,23,16,44
12,8,20732,meet new people like alright cause everyone needs friends like people say friends come go true friends wouldnt go remember met beautiful girl name friend knew wanted life people say love cant come true turn upside cause way around love doesnt go love comes remember first talk like god telling one knew save getting hurt love first looked eyes like felt way heart feeling falling apart told heart wouldnt broken half cause ill replace mine told one want one need one gotta succed wanna know like one else know name forever like tattoo heart apple tree never cut wanna stand mountain show im different guys im faithfull like one else amazing way woundnt change nothing cause love everything love eyes love smile love personality told take chance know threw much dont let come said yes happy like dream came true guy show like others guy thats always faithfull honest truly never lie cheat told shes superhuman happy came life said changed whole life changed mine heart belongs one else cause one heart heart toy brake told never cold always warm day night arms body temperture told wishes came true one im finally lonely got told like shes finally wifey told every girl dated played heart true living life way wanted one day told girl even planet one thats always honest faithfull truly trust never lie cheat told ill keep looking special girl say found cause girl name told never sad million tears running precious little face told always one phone call away two one happy said paradise whole wide world finally made dreams come true want one else trust ill trust love never die never fall love always alive love stand high tell hits sky high tell sun doesnt shine anymore crazy shes crazy key heart open finally know love feels like made bad days good days never brake heart wouldnt brake mine either told sun doesnt shine forever doesnt shine look stars cus still shining star biggfest one sky never gone always heart love strong sitting phone waiting call always friend friend angel girl shawty wifey everything till world ends realize love strong ment friend need im glad found true story ever,15,16,31
13,8,20733,people always say laughter big part relationship true opinion sure grandmother says laughter always huge part relationship makes feel good make best friend parents boyfriend girlfriend laugh best feeling ever know put smile person ever walking around store spot two couples laughing fun sometimes feel like place grandmother always tells stories grandpa young always says laughter plays big part relationship first time met everyone always said never going last way could find wait believe felt like singing everytime heard name said would walk shadows felt like problems would go away everytime chance hang everytime could think would smile laugh thats happy felt call love say sometimes wish love like grandmother seems happy everytime talks still dont know laughter kept together long see really huge smile grandmother everytime says brightest head world always knew put smile face says smart knew make jokes make laugh question asked think two couples see laughing good time first thing pops head know fun doesnt let anything get ways laughing goodtimes grandmother says thing kept grandpa together laughter dont know howe make person laugh dont know could good time person grandparents mad never last long gandpa always knows make laugh maybe know make laugh maybe wouldnt together still understand grandmother felt love grandpa made laugh relationship always know put smile person dont know pretty sure things work grandmother right laughter play big part relationship alwasy know make everything better making jokes something funny never mad grandparents know many tricks make self laugh makes family relationship stick together familys also finally get laughter big part relationship,18,18,36
14,8,20734,laughter best medicine phrase almost everyone heard true days could think life sucked least seemed days feel like everything going wrong nothing could make worse one best friends make laugh laugh hard verge pants eyes water laugh hard sound comes sides cramp fall floor make laugh hard sometimes think even coma say something funny sit straight hospital bed laugh huge belly laugh sometimes escapes particular time feeling giggly usual tends happen lot together time way different others staggered house flushed giddy funny everything know best friends tickled times glance friend begun calm see pinched expression trying laugh lose ever pleasure experiencing silly moments try imagining feeling hours time pretty sure developed whole new set abdominal muscles day gives idea hard laughing anyway stumbled house trying get serious since least homework course starving laughing told could get cereal regular milk cereal right nothing special n besides freaking delicious day everything ordinary especially milk amazing milk ever tasted milk mean something milk good exclaimed swear choke spoon eating fast kidding kind milk buy blurted reason milk really extraordinary seriously blowing mind know two percent looked us incredulously curious eyebrow raised inquiries expression made us fall apart peals laughter whenever one us brings still laugh like happened happened peed pants little idle threat rushed mgoingtopee squeal actually peed still even remember said make laugh hard know suddenly scaring half way death yelled whipped around saw red faced open mouthed supporting counter looked like freaking bent like eyes closed tight crinkling corners stray tears escaping tried hold shrieks apparently crippling laughter took second realize going totally straight laughing pointing laughing shoulder shake laugh made laugh harder still laughing penguin type run hall bathroom wet jeans red tear streaked face burst bathroom door looking slightly bewildered amused happened naturally laughed sight comically delirious state fact always laugh love friends great people laugh everything nothing practically walking ego boost laughs every joke pretty clever comes thinking personally love laughing especially mostly best friends,23,20,43
15,8,20735,one time skateboarding friend got relay mad wanted stop skating mom tried convince keep skateboarding laughed seed never good enough skate seed improved people knows made feel better started skate boarding every day think day still laugh skating fun many ways people skate fun compaction different ways skating people ways skating many different kinds skateboards people skate ride different people ride skateboards laugh way skate,10,10,20
16,8,20736,laughter good relationship built trust right heard whole life grow really started thinking came kind survival guide good relationships anyone sure trust important key factor learned laughter important starting relationship keeping full life one person life helped really understand able relationship mom great bond way understanding girls know always mothers fortunate sure hard times like family able tolaugh time start new helped realize laughter shortest distance two people great bond mom important always ran smoothly though age ten thirteen bit troubled sense wanting show emotions wanted stay quite seeing mom someone strong beautiful admit bit worried would think disappointment guess afraid show really whenever would joke around would take seriously whenever would fight small things thought would hate forever know silly think actually glad went think part made us stronger like would rainbow without rain would happy ending well throughout whole life little know light end tunnel around corner one night dinner mom informed night dishes unlike usual completely forgot went room listen music eventually fall asleep mother came room upset frustrated said ignore dishes need done jumped bed without word began walking kitchen followed small bright room alright okay forgot mad exclaimed word escaped lips afraid say anything sound came sigh relief turned back around noted absence finished dishes pulled room tried reading face looked worried explained relationship mom desperately wanted told would together silly things promised got fights would stop take deep breath would guys questioned replied laughter best cure sad feeling bad day grandma would always say helped experience tickling joking around fist time life nervous spoke mind sat chucked sleep knew things would different made promise one able wonderful smiling memories together fifteen years old honestly say without question mom always best truest friend bond way getting tough times way stressful things life makes feel get anything truly realized meaning saying laughter shortest distance two people,20,25,45
17,8,20737,laughter story laughter want hear well life filled laughter smiling crazy know laughing would six pack today ever stopped think one person make another person laugh usually become really close friends maybe even best friends boyfriend best friend one time boyfriend laughing hard boyfriend life spend pretty much everyday amazing well everything together close best best friend anyone could ask known year lot happen one year meet new people build relationships even move away relationships made always laughing things well always fun times late walking home like always field extremely tall grass walking right next sudden acts like getting pulled grass guess screamed loud could possibly scream starts calling name creepy voice telling come grass curiosity happened start walking towards tall grass arrived spot entered grass tells lost shoe seem find anywhere start looking everywhere shoe see anything really dark used hands search around shoe found said found shoe realized two hours went tired laid grass take break started cracking laughter ridiculous spent two hours something suppose little joke awesome finally got feet bellies hurt bad sore never laughed harder life every time best time ever always seem find way make laugh without best friends even friends would probably find hard laugh friends always someone laugh also laugh cherish best friend happy laughing times together never know last time see person try happy try always make people laugh laughter best way exercise,20,20,40
18,8,20739,laughter big part relationship feel much connected person laugh together laughing make feel great could depression stage either friend family member could walk pacify make laugh relationship laughter would leave person fast could people think relationships money looks people days last long relationship back old days people would die together even death would graves right boyfriends name going four years funny love jokes sometimes even try make joke anyway first going throwing birthday party one friends went woods hid everyone else others came find us jumped scared mad us night fall came laughing together mom dad really laugh together much go come home together dad loves crack jokes mom kind person likes laugh people gets hurt grandma funny try make people laugh hurt selves get kick friends funny best friend funniest girl ever known likes dance funny mock people like works try find something make joke could bring almost make pee pants relationship bad loves laugh boyfriend hates making jokes tried stick things got worse worse thing would sit bed couch play video games watch wrestling would make clean room dishes one year old sister makes watch clean feed hie room playing video games got tired packed stuff left went sisters house funny boyfriend always laugh together laughing relationship animals well humans animals one thing cant talk back make fun animals like humans cant talk fur cat king house name loves follow house love sit floor watch wrestle cats every time go kitchen always bagging food eats gets erg energy runs house makes laugh stop right front stare move run away cats cute power look soul like cat big eyes meow sweet incessant funniest thing fat fat cat one years old see running place makes laugh horse way name four years old crazy horse time funny try play horses get hurt bites kick back blue eye bought purposes people thinks horses bill think family,15,15,30
19,8,20741,everyone enjoys laughter everywhere look always laughter laughter comes happy happy comes joy life many times life joy tend laugh many times throughout day account happy one topic brings laughter niece two years old adorable little girl world least opinion since young care worry world knows everything going taken care case full joy happiness causes laughter takes place laughter playing greatest moments cookie jar ever put shapes right slots sings silly little song song makes laugh dance uncontrollably return gets laughing soon ends huge laugh fest greatest moments recently another addition added family nephew brother gets older keeps learning new things loves laughs harder ever thinks funniest thing starts laughing greatest moments see laughter happy fun laughter starts smiling smiling also rooted happy many things make laugh smile niece nephew one example makes laugh smile,15,20,35
20,8,20742,laughter bring people close together laughing shows trust one another simply understand many different kinds laughter like cracking joke someone something embarrassing story telling bad day hunting turned funniest moments ever started woke forgotten put wet clothes washer machine dryer dig clothes room find camouflage clothes dirty something could wear time anybody would bad mood trying rush get door buddy showed ready go rushing rush bound forget something left gun house five miles road noticed forgotten gun turned around went back go get late speeding cabin breakfast eggs could make omelets racing hit bump road everything mean everything hit ceiling truck slammed floor eggs broke egg carton eggs eggs meant breakfast thirty minutes till shooting hours late showing blind meet friends finally get blind right sunrise getting set group twenty mallards drop unexpected took could get shot thinking great goes opportunity redeem terrible find ducks ducks saw day around twelve clock gave went back cabin way got stuck two inches water truck remember thinking really happening us right got truck push stayed truck drive many attempts push truck finally sixth try pushed truck hard enough get muddy water funny part broke truck free laid gas causing truck tires spin spray mud everywhere saw amount mud hurled everywhere jumped behind used shield mud point inch thick layer mud head toe help laugh funniest thing ever watched rear view mirror soon safe getting truck stuck fell truck laughing hard even laughing bit day nothing goes way bad luck never know day planned case one memorable things remember happened duck season,20,20,40
21,8,20743,figure something really freaking bored explained us relaxed next dark blue gracefully parked right side house young young boys needed something gears started turn head thought bullet proof plan would funny got yelped really anything right quickly replied since car drive town buy cheap saran rap back four way intersection right side neighborhood tie rap around two trees opposite sides street cars speed quick explained ran breath bursts loud laughter came directions friends standing came realization idea golden drive go get anyone got money pitch pounced handed single bills plenty give minutes meet intersection right side neighborhood said brushed everyone car begin dip neighborhood text get back screamed sound poorly maintained engine bellowed sky minutes flew rest us sat curb talked waited ring ting custom ring tone incoming texts sounded eyes quickly scanned phone contents concluded ready saran rap four way intersection go ready thing muttered grabbed jacket headed exit neighborhood trailed brought back yelled enhance passe car lights lit air made blinking signal express us four us quickly jogged drive way house sale right near exit neighborhood parked long enough explained well go intersection set explained started lead toward intersection fifty yards away reached intersection cars opportunity look cars yelled began process quickly opened saran rap ran crossed road uncoiling rap went soon opposite sides street started firmly rap saran around trees already pick pulled inspected finding prefect sprinted short fence boarder neighborhood one side intersection guessing friends hiding haha prefect made sure everything feels right explained gazed upon delicately hung rap ran sides two way street must wait said anticipation fell place four heads bobbed checked see cars driving road since pm good folk sleeping inside suddenly car came speeding yards great prank yelled car continued driving closer closer boom car speed saran rap came screeching stop laughter burst inspected target completely disarray anger male driver hearing laughing decided leave car chase us screamed right man reached fence hiding although late anger man caught rest us high tailed house soon reached house began ask self happened suddenly came running reached us started burst laughter whole left side dripping soda would never tell us happened although could guessed long rapped called quits hit sack house laughter short supply fell asleep,22,20,42
22,8,20745,interesting fly long crying lots goodbyes finally airport waiting plane airport many times love always exiting go vacation parents pretty frecuency today different vacation going whole year parents going think away friends long time made stomach sick expecialy going meeting host parents never saw wondering going normal people pair complitely weirdos plane sat young girl studing arquitecture going back home winter going away asked speak english said try laught looked nice big smile pretty started talking felt nervious anxious asked ok told going foreing stage studient next year concerns like meeting people missing home told fne dont worry wish chance age changed subject long conversation started reading magazine put music get sudenly screamed hard made jump laugh long time even talk explain scream everybody looking us made even funny kind embarazing could stopt laughing told guy picture magazine went highschool years ago together time since graduation didnt know anything working bank making good money really good money going craizy talking self asking word stoped talking good time even seen made really happy time got plane confident almost forgot nervious months everything going perfect im sure even laughs really long time plane go back think think count moment first good expierence,16,18,34
23,8,20746,many relationships always laughter love sadness anger complacations allthough one person relationship involve laughter reather boring sad would spend troumendous hours time get one little giggle sound laughter rather gental soul could never harm fly still could laugh eventhough happy would ask many times sure happy dont seem like never see smiling laughing see frown told sour face replyed back yes happy becuase laugh mean besides silly grin face could happy reply simply shrugged began cant laugh replyed back drowsy voice gettig tired topic everyday laugh choose said well earth would sighed huffed really getting tired topic allright stop said gental strained voice im going stop nice might talk rest year course joking could never nice besides bestfriend talk topic dropped never brought saw cold walked house one morning go school saw big moving rental truck outside house instandtly knew lied rather tell moving away began think always asking would laugh would silly reason leave went house caring late never show school figure leaving got porch house walking door blocked door way could go making sure wanted get box clothes truck would answer asked said father got promotion work move new york begain cry told young eight years age twellve knew going get see made sure lefted school would hang lefted night park told willingly without asking know always wondered dont luagh said went like said cant laugh dont want young teased smile didnt understand would anyone tease asked though would someone tease nice repled new teeth grew old ones look great still puzzled teeth looked good asked smile teeth look fine said would know teased many years feel need well could smile truth told want said really much excitment yes reason person makes want smile grin always always happy couldnt admit well becasue girl guess girl make want amile friend younger makes feel little weak didnt understand time older glad one night see smile many phone calls hear laughter heard laughter shortest distance two people quite frankly absoultyl true becuase night friendship grew even phone call little laughter,17,16,33
24,8,20747,days really need reason laugh laughter radiates people frequent breath air believe everyone someone laugh everyone someone enjoy around one people enjoy around best friend matter situation whenever around end fun laughter turn bad day completely around one recent examples power laughter happened weeks ago one friends tried play cruel joke ended bigger mistake could imagined figured person trusted trying spite became overwhelmed emotions one point actually considered attacking girl right middle every one school thankfully used better judgment run away hide instead hurt half class period progressed still upset unprepared confront stayed safe hiding best friend found come comfort got wind happened talked calmed tears stopped made feel much better able remonis fun times together laughs shared seemed make problems disappear eventually convinced go talk friend turns ashamed actions able make return somewhat normal life day likely rest life believe laughter best medicine guess lucky found best person life share laughter every body somebody,18,20,38
25,8,20748,friends nt always want arent always easy find smile laugh friendship become mean friendship isnt moments laugh pee laugh breath feel like done one hundred sit ups ofcourse meet friend like happen least expect didnt expect new friendship new town new people met friend call bestfriend year new homeroom everyone stared like kind criminal everyone talked behind back would pass desks well atleast thats felt homeroom teacher called schedule sixth period class really idea walked class turned rusty knob door gym class supposed walked well found one wheeled bike wow laughed thinking know looked around saw sixth grader around took seat looked everywhere trying figure really sixth grader walked girl looked age took seat wondered nice could go talk emberrassed asked everyone get groups two asked girl wanted partner started useb unicycles partner help us get ride could ride help class tolde name told name super excited go class next time actually friend well atleast someone talked went class absent loner period partners girl named savannah witch total girly girl didnt want ride wanted talk sick tired end day nt practiced unicycleing really hoping would show class next day showed time get partner make routine song wanted pretty stoked started practicing trying come something suddenly fall stared eachother started laughing laughing couldnt breath almost peed one best times experianced year felt like could become best friends really close friends one moment laughter together brought us close heart love laugh believe laugh younger look well think true everyone story met certain person became close believe every friendship braught together smile laughter laughing moment laughed hard farted milk came friends nose great time never forget something simple special really marks heart way feel around person braught friendship person barley met friendship insepreable amazing,19,17,36
