,Essay_id,Essay_set_id,Essay
17,17,7,juli five year old diagnos termin diseas first famili devast decid focu juli happi want know love would live memori instead dwell sad took care juli everyth could make life comfort painless possibl took danc class rode bike around block read stori bedtim even made pilgrimag park juli could play friend juli famili wasnt alway patient end love patient thing
18,18,7,time patient hard manag didnt get angri insult person caus problem stood wait finish didnt say word finish sometim take long time end problem usual got solv im glad patient
19,19,7,sooner climb bed complet exhaust long day class tri cram final exam phone start ring grudgingli sat reach phone readi give boyfriend piec mind disturb sleep saw name caller id heart melt littl hey said tri sound tire what hey said want know your still dinner tonight realiz late everyth couldnt turn opportun see could hear relief voic made heart palpit littl knew tire alway seem abl stay cours said instantli feel better ill see tonight manag fall asleep night despit late hour awak long alarm went next morn plenti time get readi meet boyfriend restaur enjoy love dinner togeth
20,20,7,one day mom tire work head bed four year old sister want play game mom patient explain need rest sister wouldnt listen mom final said im go bed talk morn next day sister still holdout mom explain happen night mom patient love even daughter didnt listen
21,21,7,born famili six kid alway tough middl one sibl alway want thing way parent alway hurri like younger kid definit need patient would often get frustrat parent alway tri rememb tri best could eventu becam patient one time checkout line groceri store sister got line realli mad thought go mad entir time store realli patient wait till done aisl went next one surpris abl patient made feel lot better
22,22,7,patienc defin abil endur difficulti without complain patienc someth often hard come essenti mani situat mani differ type patienc import type patienc oneself time tough import rememb human make mistak also import rememb thing eventu work import faith abil throughout everyth import maintain posit attitud stay calm thing like endur difficult situat find success peopl difficulti patient other one incid friend wait long time bu becam frustrat threw rock bu shelter fortun miss bu arriv soon hit bu shelter would extrem angri impati even though patienc someth import alway easi exhibit time becom frustrat situat cannot stand longer case import realiz
23,23,7,patienc virtu import situat parent first start live excit would talk great go live share new idea make apart look feel like home howev patient got first month would take one day time pressur definit easi worth see apart turn home one time patient deal difficult custom work particular store month alreadi one alterc particular custom seem alway lookout opportun complain day came start berat right away upset exact articl cloth look demand make difficult job thank abl remain patient handl situat way need end custom left
24,24,7,sit doctor offic wait find cancer realli scare tri patient doctor came told cancer realli rare form thyroid cancer reliev
25,25,7,patienc virtu sore need today societi teenag often impati want everyth frustrat adult lead conflict adult patienc allow handl difficult situat care understand alway go bump road import rememb everyon get time
26,26,7,one favorit patienc stori happen 7 year old daughter young would frequent go long car ride husband would get antsi start bounc scream whole time one particular ride start scream minut car start move wouldnt stop babbl entir ride husband realli frustrat give abl patient calm made destin without issu realli proud patient realli challeng reward end
27,27,7,patienc someth santhia practic lot want success life alway difficult wait line sit long lectur santhia determin best could would never give dream matter long took
28,28,7,knew need patient wait turn line groceri store patient peopl front got groceri patient bag item paid even patient cashier count chang patienc personifi
29,29,7,parent alway tell import patient someth ive learn year sometim difficult know worth end rememb one time particular patient wait line movi theater seem like forev turn final came got closer front line realiz someth wrong line divid two disappoint knew patient didnt want caus scene took seat back theater eventu turn came abl watch movi without problem cant say experi enjoy patient that matter
30,30,7,one day decid tri hand patienc alway thought easi thing felt like could almost anyth enough patienc howev tri patient prove much difficult thought would would get easili frustrat angri hard contain anger eventu learn import patienc even though may seem like learn patient definit make life easier
31,31,7,stay grandpar hous parent vacat warn kitchen realli small wast time tri cook anyth way go abl fit stove kitchen realli look forward tri stove kitchen also littl bit nervou know go abl cook anyth patient wait parent come back vacat got back show use stove kitchen realli proud abl cook meal grandpar realli surpris thank learn lot patienc live kitchen glad abl cook meal kitchen
32,32,7,mom one patienc peopl know born countri patienc virtu learn earli import let impati get best one time littl long line groceri store rememb get realli irrit peopl front us would fume huff blow stack never said anyth peopl line behind us stood patient peopl front us got fed ignor mom didnt care kept wait turn that kind patienc mom she patient even one els
33,33,7,upon time young girl name emma patient would sit long wait line patient listen teacher patient wait dinner arriv emma known calm disposit abil stay posit even face difficult circumst classmat appreci abil remain calm collect often look advic handl difficult situat
34,34,7,excit tri new scooter parent brother asleep took street wear helmet forgot put glove scooter kick huge cloud dust start ride quickli realiz mistak start chase scooter embarrass ruin new outfit also patient took time catch scooter eventu jump rode back hous laugh whole way patient difficult alway worth end
35,35,7,realli need patient parent know want what best alway realli support cant help feel like theyr alway tell wait im perfect theyll let anyth realli frustrat guess keep tri
36,36,7,alway consid patient sever test son born 37 week earli spend first week life nurseri due medic condit constantli exhaust knew strong one littl boy would spend hour hold sang tri hardest creat love safe environ week allow take home still long road heal son alway sick hard cope financi cost prematur babi determin everyth could make happi healthi happi 8 year old know patienc hard work put earli month worth
37,37,7,patient teacher give test section would usual read question answer head take test help stay calm get angri test would usual relax feel happi done well
38,38,7,younger parent alway said import thing could learn patient didnt alway understand meant eventu figur realli import calm collect head thing got tough rememb day parent took bike shop test ride bike eager tri parent werepati let ride one littl bit decid one want buy great lesson eventu learn patient came tri new thing also learn patienc came deal difficult peopl peopl realli easi anger other much difficult parent alway taught import stay calm patient deal difficult peopl serv well mani situat know alway count patienc help get difficult time
39,39,7,know patienc hard sometim import let thing happen way grandma alway told still watch flower grow someth ive tri follow work lot life understand thing may alway go way want sometim wait lead best thing end sometim okay take thing stride accept happen itll work end rememb one time particular patienc test walk grandma came across realli big dog never seen one like scare didnt know grandma tri talk dog bark growl get realli mad start feel scare final grandma took hand walk away wasnt best experi learn lot patienc know sometim import hold give fear
40,40,7,one time wait line store realli long realli frustrat wait turn got stuff realli patient
41,41,7,day start like woke got readi head school last one great didnt wait line last class rush home pack trip excit go first vacat new boyfriend finish pack start head door boyfriend said stay home finish work littl disappoint knew would got back didnt complain wave goodby head bu stop bu delay wait littl bit longer id plan final bu arriv board get bu saw boyfriend walk street ran toward hug glad pick trip great patient best part knew boyfriend would got back matter long took
42,42,7,week ago littl sister get frustrat tri figur math problem tri encourag tell would take time could howev sometim sister doesnt patienc figur thing eventu gave ask help glad give hand togeth solv problem minut
43,43,7,iren wait line groceri store almost hour refus give everi time saw sign indic line move would step forward push back someon front hour half final made front line patienc definit test cashier told twohour wait front iren manag keep composur thank cashier leav patient difficult trait well worth end
44,44,7,proud manag get trig class without rais hand everyon say patient tri harder get angri wasnt easi felt like everyth frustrat want scream teacher glad class one best friend jenn alway patient would sit therapi session mom even long bore would still help mom pack bag clean dinner even scream brother jenn amaz admir much
45,45,7,realli tire run around day want go bed right away mother wouldnt let said need rest tire bone lay listen stori beauti hear voic told childhood first met dad dream gradual start feel sleepi long fast asleep mother still talk close eye last time
46,46,7,grandma one patient peopl know gone lot life never complain alway understand toler come hardship even though hard patient sometim realli import trait realli help get difficult time
47,47,7,week ago friend wait line realli long time get realli impati start get mad everyon thought mom alway tell patient made feel lot better know she right sometim feel realli tough end itll worth
48,48,7,one time friend jenni realli hard time math class struggl realli frustrat support sometim patient realli hard especi feel like your get hang someth feel like go take forev figur sometim keep solut come eventu that happen jenni fail attempt final got didnt give kept tri eventu becam success show patienc determin realli paid end
49,49,7,littl girl grandma alway patient even realli annoy would keep tell cute much love know wasnt alway easi alway handl thing patienc whenev hard time patient think grandma make feel lot better
50,50,7,patienc virtu often difficult display earli twenti definit wasnt patient alway hurri didnt take thing slow even cant stand wait line anyth guess trait patienc someth ive learn life one time mom wait line fast food restaur long line get close turn get realli agit mom get fed told patient rush turn shock alway calm patient realiz patienc realli import virtu anoth time friend kati wait line food groceri store hurri impati grumbl turn came got food happi smile congratsstyl patienc realli admir learn lot even though sometim hard patient definit worth patienc qualiti improv life
51,51,7,patienc virtu often difficult find rememb younger mother alway told ever face problem couldnt solv go room wait someon els help said could wait somebodi els help could solv problem quickli respect mother advic eventu learn patient warm summer day sit sidelin soccer game wait teammat finish score annoy couldnt particip game knew patient almost hour pass teammat came back field abl play rest game learn sometim import patient wait right opportun
52,52,7,grandfath alway one patient peopl ive ever known would sit watch hour hour rain stream window never get move complain live pacif northwest rainfal someth get use grandfath would sit patient wait rain stop sometim even go around hous put extra cloth case rain anoth hour alway mental alert awar surround amaz mom anoth person think incred patient alway will put antic never get angri even get realli stubborn annoy alway will tri talk reason manner realli good deal difficult situat calm understand way patienc definit someth tri practic everi day hard patient your feel frustrat trap realli worth end
53,53,7,patienc import especi thing tough rememb time car die side road pull turn engin sat felt like etern eventu tow truck came got tow nearest ga station never forget patienc driver well stranger help us patienc virtu someth alway rememb
54,54,7,rosi feel realli mad mom ground week realli frustat want lash knew would make thing wors tri patient took deep breath school express tri focu homework hard made whole thing without lose temper time done felt lot better
55,55,7,billi alway one take time wasnt alway rush anyth like realli good bargain wait right moment exampl would often wait kid block finish play start game would alway let ice cream truck catch get cone howev one day billi particularli impati wait hour turn basketbal court get realli mad final call kid im sick wait let go kid quickli ran join billi game start surprisingli kid also realli good wait abl keep billi part even manag score basket process eventu billi got tire gave admit littl bit impati learn littl bit patient futur learn lesson hard way alway hurri never last long game would alway get ban play
56,56,7,girl alway patient never complain anyth matter hard long took whenev wait someth would sit wait calmli never lost patienc alway understand
57,57,7,sister pregnant tire time would help work would need rest occasion would want go friend alway told want rest would often get upset end learn understand eventu sister babi exhaust couldnt anyth cook took care babi grate told never would abl without help lesson learn well sometim import take step back let other abl thing
58,58,7,younger alway troubl wait thing sometim would line long time store got front clerk would say mistak wouldnt get purchas mom would late dinner would wait hour half would get realli impati would start cri im much patient rememb time wait line hour see favorit celebr excit calm whole time even chat fan great experi patient great way handl difficult situat make feel calm control best result great experi
59,59,7,minut exam hand shake badli couldnt even scribbl name paper could feel student look judg lift head stare straight ahead tri keep calm demeanor practic morn final professor dismiss us made way room breath sigh relief could walk home straight line decid take scenic rout 1898 pass flow creek follow forest either side sun set cast beauti glow tree could stay night knew get home final emerg forest saw hous distanc taken almost hour home safe sound cant say particularli patient definit patient enough situat
60,60,7,milli alway one patient wait line matter long took turn polit hand ticket wait turn counter wasnt end line realiz ticket rip half could becom angri choos patient patient took ticket stub hand back cashier milli knew patienc would reward end
61,61,7,younger rememb alway impati would alway tri rush everyth someth came wait would get realli frustrat think realli import patient especi thing difficult dont want add difficulti want get smoothli possibl sometim thing happen cant control that patienc key rememb thing work end
62,62,7,grandmoth one patient peopl know she lot tough time life never complain she alway will put hard work get want doesnt take thing person she one mental strong peopl know patienc big part
63,63,7,touch la vega long flight husband exhaust luggag alreadi collect hour kill check hotel walk around citi take sight sound later night went eat restaur hit casino time reach bedridden grandpar hous middl night physic emot exhaust despit exhaust patient grandpar explain situat ask could help us get sleep grate willing help quickli fell asleep morn abl spend time grandpar continu journey patienc import especi deal peopl elderli ill patient abl show grandpar care will help way possibl
64,64,7,wait line seem like hour final made counter hand cashier money receiv purchas even though impati leav grate wait
65,65,7,rememb one time realli impati line groceri store realli behind start get patienc start get mad thought realiz line good reason wait turn get groceri patient got groceri glad patient
66,66,7,day start like got ate breakfast head school walk hallway someth caught eye middl floor huge puddl know would walk puddl get class took deep breath walk step liquid squish beneath feet tri grimac made way class halfway realiz shoe ruin desper new pair turn around began trek back puddl step liquid turn mud stuck shoe time made back puddl shoe ruin walk back school barefoot didnt stop patient went entir day without complain even feet sore blister eventu shoe fix abl finish day without issu patient abl enjoy day despit hardship
67,67,7,littl mom alway told someth wasnt abl need patient wait someon els help even though frustrat right didnt tri would never learn rememb one time tri get balloon jar use straw couldnt seem get far enough mom get realli frustrat wait success help put balloon back jar patient learn lot
68,68,7,patienc someth tri much possibl day realli hard especi there someth want need seem like itll never happen rememb patienc key anyth happen end sometim thing want take littl longer like eventu happen know sometim realli hard wait worth end
69,69,7,patienc alway easi find find make differ one day littl sister troubl open packag tri bend twist pull noth seem work start get frustrat start cri rememb someth mom alway told sometim hard way best way help sister tri differ way open packag eventu got open bit hassl end worth
70,70,7,sit class phone buzz text friend date night feel littl insecur told worri enjoy patient peopl usual strive peac even face difficult circumst import qualiti im happi assist friend need
71,71,7,mom patient person know mani tough time yet never complain alway stoic determin even thing realli tough lot patienc someth admir whenev argument instanc usual tri discuss issu calmli satisfi even though quit contenti time know mother alway tri understand one time famili vacat wait line nearli two hour get amus park 6yearold sister get impati whine mom tri hardest keep tame attitud final made front line start ride ride sister blast feel pretti grumpi mom notic ask told angri disappoint hug told keep open mind later realiz patient appreci
72,72,7,mari practic patienc everi day sometim hard knew worth one time wait line groceri store long line realli hungri kept composur wait turn long wait final got front line excit get food also patient wait groceri bag groceri store patienc realli import make thing easier futur sometim thing dont go way practic patienc well abl cope difficult situat
73,73,7,recent walk street ran someon knew exchang apolog went separ way littl annoy deal remind need patient knew would run want prepar act calm polit even difficult end learn lot becam friend
74,74,7,day start like got earli usual got readi head school howev time arriv teacher alreadi left day alway like didnt realli mind wait friend head usual spot got realiz usual spot occupi someon els hadnt seen day either leav saw two kid walk away spot didnt even look way frustrat tri find new spot wasnt one give saw girl walk path stop everi feet tie shoe wait get close ask best spot point us right direct final abl find spot grate even though didnt know patient us
75,75,7,patienc qualiti incred import difficult patient absolut necessari order succeed sometim take thing happen peopl respond patienc key preventingr parent two patient peopl know never get frustrat sibl whenev problem patient explain need done fix even seem like thing go difficult never give patient difficult ultim worth
76,76,7,morn kid neighborhood run around like crazi get impati couldnt stand want start school alreadi final decid go patient went hous grab backpack start walk school pass lot kid saw lot run fast could kept walk knew start run would get tire would probabl late school patient made school time
77,77,7,upon time girl name aya patient never complain alway tri take thing one step time aya parent alway strict learn patient young age one day aya parent took tea ceremoni aya excit go eagerli follow parent around teacup garden howev got lost vip area didnt get take part tea ceremoni parent disappoint mention friend aya learn valuabl lesson day patient key life
78,78,7,younger use lot patienc would sit long stretch test without make nois would even keep calm teacher yell us learn patienc realli import especi your deal difficult thing although difficult patient make thing lot easier long run sometim thing take longer want doesnt mean cant keep tri patienc valuabl trait definit help us arriv success outcom
79,79,7,year ago son young would often cri unhappi would tri comfort noth work one day realiz need patient would sit let cri felt better eventu learn trust would alway stop cri often
80,80,7,last summer seventeen work summer job local garden center first week terrifi job store huge noisi disorgan also new area constantli lost boss realli patient though would give littl tip job encourag keep tri eventu got hang realli enjoy work one day boss store employe call offic without give reason told let go complet devast patient done couldnt believ left store head tear stream face disappoint summer job learn much wish patient
81,81,7,patienc alway easi fact numer instanc gripe complain trivial thing howev occas patient allow problem solv think key patient understand difficulti may present time never let get best us
82,82,7,one day littl girl sit class pencil lead snap immedi got seat went get new one desk teacher notic patient didnt make big deal situat
83,83,7,upon time boy patient could sit hour hour class without throw fit get anyon way even wait turn line would take time stay calm knew longer wait better chanc get want sometim peopl realli impati cant stand wait anyth definit dont like restrain way lead lot frustrat conflict especi person impati doesnt usual handl emot well peopl realli good maintain patienc even thing dont go way know take step back give other space dont get overwhelm realli help qualiti difficult situat
84,84,7,mom drive us school would alway get frustrat one us bump car front one day get readi leav bump car front us mom patient didnt get angri help fix wheel went way sometim take lot patienc deal peopl worth end
85,85,7,year ago parent took journey never want take go camp middl nowher 5 day sinc first time camp also first time anyth bit anxiou everyday would set tent put food sit around wait sun go even sun set get readi bed would tell tomorrow new day would get earli great time trip great learn experi grate parent took learn camp adventur drive around without map also learn patienc hardest part trip abl complain environ challeng moment dark felt scare knew better tomorrow would abl conquer challeng
86,86,7,littl boy name timmi alway impati timmi would get upset thing didnt go way right away one day timmi learn patient wait toy come instead chase around room also wait parent finish work could time timmi learn patienc make thing lot easier
87,87,7,patienc virtu often time hard come someth work constantli understand toler peopl feel even dont necessarili feel way come difficult situat tri get work know thing work end patienc pay
88,88,7,patienc virtu mother alway taught hard learn youth constantli impati couldnt control emot one instanc stand mind fourth grade wait line lengthi period time get hand new toy excit energi within kept build vibrat impati furi time final got hand toy emot destroy rough mother disappoint still see disappoint eye valuabl lesson learn day sometim patient best choic
89,89,7,grandfath alway deep patienc could sit wait hour right fish come wasnt one get frustrat easili rememb one time fish hook huge fish felt pull reel knew haul fish grandfath pull plug told sometim fish arent bite matter hard tri like patienc day learn lot stay calm pressur enjoy moment
90,90,7,one time mom realli busi work made time come soccer game even though realli tire realli patient let know matter
91,91,7,littl brother three year old alway want thing way would stack toy car taller wouldnt let anyon take would get frustrat couldnt figur fit door mama wasnt pay attent took lot patienc eventu abl get necessari follow direct taught share compromis becam far cooper today littl brother respons help young man know took lot patienc part definit worth
92,92,7,begin semest lot pressur get good grade get best colleg test next day nervou couldnt sleep stay night studi woke next morn still lot studi frustrat felt like couldnt rememb someth mom use say persist pay kept go long finish studi best grade test learn work hard eventu achiev goal
93,93,7,patient littl sister paint famili christma present help best could get angri paint start bubbl even though took lot time wait paint dri worth open present saw beauti paint
94,94,7,one time patient younger brother alway make fun sit backyard play togeth decid usual stunt jump flip somersault wasnt realli aggrav tri show kept play game told need care alway thought funni sometim didnt realiz seriou action could
95,95,7,grandmoth one patient peopl know grow would alway see sit live room stonefac relax rel rail variou problem would patient answer everi question never becom angri defens even total annoy child never lost temper fact patienc one thing admir learn experi difficulti without rais voic becom bitter fact sit back allow patienc work magic often lead resolut solut despit valuabl lesson learn grandmoth sometim find difficult patient life full ofstress alway sever thing vy attent find difficult put problem concern hold allow thing work alway remind import patienc grandmoth grate exampl
96,96,7,patienc someth struggl think one thing im good one thing need work patienc test lot come thing want need find get frustrat quickli one time wait line quit time store realli impati fidget tap foot talk phone somehow line move right front cashier could tell realli exasper could tell give didnt gave chang said great day realli surpris grate patient think everyon patient thing would move lot faster would lot happi
97,97,7,doctor final came talk could tell frustrat wait forev make thing easier ive review record look like rare condit well test figur best cours action meantim youll need patienc long paus look chart hand im sorri said final dont know much longer patient knew right need find solut fast wasnt fair us wast time nod head will understand know im sorri
98,98,7,excit go first date new guy friend talk week readi see patient though wait perfect moment ask movi pop question said ye happi great time learn lot patienc
99,99,7,mom alway patient especi come cook know much love cook never get frustrat shell let cook way recip sometim ask question along way mostli listen allow work sometim frustrat overal she alway great exampl patienc
100,100,7,patient wait long line groceri store didnt get angri frustrat kept walk wait took quit final got groceri worth wait
101,101,7,averi face long line groceri store determin get need dinner long day school hungri line move slowli determin get groceri got closer front line realiz need gallon milk carton head back begin line saw anoth custom walk cart full groceri averi decid would wait line milk go get groceri anoth time glad patient knew would get dinner tonight
102,102,7,patienc alway easi practic someth realli import life peopl realli impati make thing realli difficult howev prove patient realli make life better time patienc realli need especi thing difficult howev patienc limit difficult time sometim patienc realli import someth good wait patient make thing feel lot better
103,103,7,mom alway told patient know come wait line someth els might littl frustrat realli hard keep calm mom alway told hold tongu wait turn said sometim thing take littl longer expect end would worth right wait turn taught lot patienc handl disappoint without get upset also help develop posit attitud regard frustrat situat help appreci thing life know even though thing dont alway go way want wait patient lead lot happi end
104,104,7,sit math class wait teacher come back answer question fidget tap pencil desk get littl bit restless bell rang class start get didnt patient wait teacher come back didnt ask kid told go bathroom wait anoth minut went bathroom knew teacher would back minut glad didnt get troubl
105,105,7,last night wait line store seem like forev impati want leav kept cool tri patient eventu got want abl go day
106,106,7,rememb time patient parent fight want stop hear argu knew need patient didnt want ruin chanc harmoni reacti ng instant sat yell swear even though hard end worth itmi parent eventu work differ
107,107,7,younger would get realli angri realli quickli parent would tell take deep breath count 10 react realli hard one time mom fix someth kitchen counter get realli frustrat huf puf mom ask pleas take deep breath tri said realli hard start get mad couldnt stop mom final pull away someth would regret thank mom teach patient
108,108,7,3 week old parent forc go emerg labor born prematur spend 8 day hospit medic induc coma learn walk eat drink hard process parent patient explain everyth went along never gave learn strong patient well adult know patient key success
109,109,7,rosi wait long time line groceri store patient though want buy ice cream knew would worth wait line delici ice cream cone right got front line got ice cream cone enjoy everi bite
110,110,7,one time mom told particularli patient exampl mom would take time explain thing could understand alway made sure talk slowli clearli could follow without ask repeat think mom realli good model patienc whenev im hard time understand someth tri model patienc mom she alway understand ive never heard get mad abl understand someth
111,111,7,life mani time patienc test one difficult time colleg struggl studi felt like everyth fall apart parent alway support told everyth would work end could tell get tire complain one night decid take break go walk wander around campu hour found feel lot better abl forgiv mistak abl continu studi renew determin understand peopl may find stori unbeliev truth import rememb patienc virtu worth cultiv
112,112,7,patienc import virtu especi come wait line someth want mom patient sit line hour time get impati even long line store never get angri frustrat understand matter time get she look peopl know also patient wont get angri upset thing dont go way know alway possibl someth happen get desir outcom think patienc realli import qualiti teach us control emot understand peopl im glad know peopl patient watch display charact trait differ situat
113,113,7,littl mom use tell patienc virtu right patienc essenti want succeed anyth will wait turn persever difficult time get discourag earlier year finish first year colleg challeng experi persev work hard took requir class wasnt one plenti student also struggl fortun mom alway support patient even didnt understand someth also support achiev goal show import patienc never give dream
114,114,7,littl brother five constantli climb place wasnt suppos would kitchen cook dinner would sneak cabinet get pepsi hed hop onto counter get jar nutella needless say alway tell care even though riski patient ana alway will help would patient explain need stay cabinet need ask first get nutella eventu learn patienc valuabl trait especi difficult situat take lot persever deal difficult peopl problem result truli reward
115,115,7,sit biolog lab struggl difficult materi studi hour question werent click suddenli saw bell ring signal end class shoulder slump relief could final take break made way door heard someon call name turn see friend nadia sprint toward hey want mention someth think your great care there one test tomorrow nadia word warm heart knew tri help still appreci offer ill fine nadia know handl lean give hug grate support know handl anyth im patient
116,116,7,younger didnt alway patienc deal thing didnt necessarili interest everi would get realli angri thing werent go way even someth simpl wait line long ive learn patient year ive learn thing go take littl longer other ultim theyll get done realiz sometim may difficult tri rememb patienc virtu difficult remain patient ultim worth
117,117,7,one day uncl wait patient turn use photocopi sit chair arm fold tightli across chest patient wait turn never complain peopl offic impati uncl one patient peopl know
118,118,7,patient woman listen friend woe hour end interrupt get angri even patienc wear thin final friend ran stori tell fell silent woman let breath unconsci hold said sorri know feel hard cope someth wrong friend nod look asham said patienc mean bear burden sometim feel like much worth end 
119,119,7,upon time famili live small town everyth life seem take forev parent alway tire children alway argu despit struggl manag patient never complain alway tri understand end patienc paid abl eventu make chang want live still live happili ever
120,120,7,often find patienc test difficult situat howev learn patient overcom struggl ultim worth month ago boyfriend experienc difficulti relationship go tough time could tell frustrat despit challeng tri understand support didnt give us eventu work issu know patienc key part reconcili
121,121,7,grandfath one patient peopl know whenev problem doesnt get angri frustrat simpli take deep breath relax muscl wait thing work even though doesnt alway get want know alway tri best
122,122,7,younger alway impati one would pull hair scream sibl guess couldnt handl wait thing time ive learn patient alway easi definit worth one time wait mom finish work offic realli excit see take realli long finish start get realli impati start get bit angri thought mom work hard everyday put food tabl us knew could stop yell start enjoy wait
123,123,7,one day wait line groceri store got behind woman appar didnt anyth better constantli line behind breath heavili grumbl much go complain wait fifteen minut start get littl bit irrit glanc notic gone cashier start checkout surpris patient think peopl like line groceri store would lot shorter
124,124,7,one day patient wait line groceri store hold bag groceri littl girl line behind scream throw fit tri hardest stay calm nois drive crazi felt like hour final got front line abl get groceri happi patient
125,125,7,sit math class wait turn answer question saw girl next hand paper knew could answer question look paper wait turn didnt want make feel bad
126,126,7,patienc someth im definit known someth bother whether small thing big thing never hesit voic opinion im alway hurri quit determin time make thing realli difficult deal peopl situat alway seem take longer think sometim rememb thing happen time shouldnt expect thing happen right away even life isnt set stone hollywood movi everyth alway come togeth perfectli fact quit often thing dont go plan deal consequ that life work patient understand sometim take littl bit effort part ultim worth
127,127,7,first grade sit back classroom wait turn turn paper could see kid turn start get littl impati final turn came walk front room hand paper turn around leav walk saw one kid break pencil sit front room hand outstretch get pencil felt realli angri saw rememb feel realli impati didnt say anyth kid walk room
128,128,7,karen patient wait turn line groceri store even person front take forev knew start get impati would make thing wors calmli wait turn got groceri turn karen great exampl patient lead great thing
129,129,7,easi younger sister get mad would stomp foot huff puff like littl dragon that act around parent sister alway patient would sit listen without tri take convers respect fact parent didnt time small talk frustrat time eventu learn patienc key could patient sister would eventu calm sometim took eventu would understand patienc
130,130,7,one day bob bill carri wait line store wait quit awhil carri get realli impati start yell cashier bill bob tri calm keep get frustrat eventu cashier announc ham chees croissant carri goe ballist scream cashier tell never come back storm huff bill bob stand amaz grate carri may quick anger often patient situat
131,131,7,littl girl patient hour end would sit room paint anyon came would get frustrat long take smile continu paint eventu paint becam famou peopl would come see work patienc well worth
132,132,7,kid alway impati realli hard sit class wait line even sit quietli long period time got older learn patienc key time life patienc realli paid instanc colleg take lot math class first realli frustrat class realli hard terribl math eventu learn patient realli start excel class anoth time work seafood market first job realli tough wade dirti water pick fish eventu learn patient abl excel job essenc patient realli import life learn patient youll abl lot thing hard ultim worth
133,133,7,patienc virtu import life difficult patient import rememb patienc key get want mani time wait someth someon frustrat key get angri frustrat patienc wait situat come final resolut sometim wait long worth end often time import patient other may alway understand say thing understand toler hard ultim good thing patient other often return favor cycl goodwil lead lot posit relationship sometim patient life chaotic difficult stay track care get caught mundan everyday life rememb life routin task take time
